Event Start Time,Event End Time,Event Duration,Event/State Type,Event/State Information,,
05-28-2018 00:00:00,05-28-2018 16:48:07,0d 16h 48m 7s,HOST UP (HARD),"PING OK - Packet loss = 0%, RTA = 55.22 ms",,
05-28-2018 16:48:07,05-28-2018 18:03:01,0d 1h 14m 54s,HOST DOWN (HARD),(Host check timed out after 30.00 seconds),,
05-28-2018 18:03:01,05-29-2018 00:00:00,0d 5h 56m 59s,HOST UP (HARD),"PING OK - Packet loss = 0%, RTA = 71.97 ms",,
05-29-2018 00:00:00,05-30-2018 00:00:00,1d 0h 0m 0s,HOST UP (HARD),"PING OK - Packet loss = 0%, RTA = 94.62 ms",,
05-30-2018 00:00:00,05-31-2018 00:00:00,1d 0h 0m 0s,HOST UP (HARD),"PING OK - Packet loss = 0%, RTA = 77.93 ms",,
05-31-2018 00:00:00,1/6/18 0:00,1d 0h 0m 0s,HOST UP (HARD),"PING OK - Packet loss = 0%, RTA = 64.01 ms",,
1/6/18 0:00,2/6/18 0:00,1d 0h 0m 0s,HOST UP (HARD),"PING OK - Packet loss = 0%, RTA = 48.19 ms",,
2/6/18 0:00,2/6/18 12:26,0d 12h 26m 52s,HOST UP (HARD),"PING OK - Packet loss = 0%, RTA = 43.84 ms",,
2/6/18 12:26,2/6/18 12:39,0d 0h 13m 7s,HOST DOWN (HARD),CRITICAL - Time to live exceeded (192.168.31.1),,
2/6/18 12:39,2/6/18 13:08,0d 0h 28m 50s,HOST UP (HARD),"PING OK - Packet loss = 0%, RTA = 46.16 ms",,
2/6/18 13:08,2/6/18 13:16,0d 0h 8m 8s,HOST DOWN (HARD),CRITICAL - Time to live exceeded (192.168.31.1),,
2/6/18 13:16,3/6/18 0:00,0d 10h 43m 3s,HOST UP (HARD),"PING OK - Packet loss = 0%, RTA = 42.98 ms",,
3/6/18 0:00,4/6/18 0:00,1d 0h 0m 0s,HOST UP (HARD),"PING OK - Packet loss = 0%, RTA = 44.28 ms",,
4/6/18 0:00,5/6/18 0:00,1d 0h 0m 0s,HOST UP (HARD),"PING OK - Packet loss = 0%, RTA = 59.68 ms",,
5/6/18 0:00,6/6/18 0:00,1d 0h 0m 0s,HOST UP (HARD),"PING OK - Packet loss = 0%, RTA = 54.28 ms",,
6/6/18 0:00,7/6/18 0:00,1d 0h 0m 0s,HOST UP (HARD),"PING OK - Packet loss = 0%, RTA = 47.81 ms",,
7/6/18 0:00,8/6/18 0:00,1d 0h 0m 0s,HOST UP (HARD),"PING OK - Packet loss = 0%, RTA = 47.08 ms",,
8/6/18 0:00,9/6/18 0:00,1d 0h 0m 0s,HOST UP (HARD),"PING OK - Packet loss = 0%, RTA = 53.12 ms",,
9/6/18 0:00,9/6/18 19:30,0d 19h 30m 1s,HOST UP (HARD),"PING OK - Packet loss = 0%, RTA = 45.77 ms",,
9/6/18 19:30,9/6/18 19:34,0d 0h 4m 57s,HOST DOWN (HARD),PING CRITICAL - Packet loss = 100%,,
9/6/18 19:34,10/6/18 0:00,0d 4h 25m 2s,HOST UP (HARD),"PING OK - Packet loss = 0%, RTA = 53.72 ms",,
10/6/18 0:00,11/6/18 0:00,1d 0h 0m 0s,HOST UP (HARD),"PING OK - Packet loss = 0%, RTA = 61.83 ms",,
11/6/18 0:00,12/6/18 0:00,1d 0h 0m 0s,HOST UP (HARD),"PING OK - Packet loss = 0%, RTA = 46.74 ms",,
12/6/18 0:00,12/6/18 20:37,0d 20h 37m 27s+,HOST UP (HARD),"PING OK - Packet loss = 0%, RTA = 65.07 ms",,
,,,,,,
,,,,,,